rank	headword	en	pos	group	nl
207	ὑμέτερος ὑμετέρα ὑμέτερον	your, yours (pl.; σός = sg.)	adjective: 1st and 2nd declension	Pronouns/Interrogatives	jullie (bezittelijk)
208	ἔτος ἔτους, τό	year	noun: 3rd declension σ-stem	Time	jaar
209	ἀντί	opposite (+gen.)	preposition	Direction	in plaats van, tegenover (+ gen.)
210	ναῦς νεώς, ἡ	ship	noun: 3rd declension irregular	Work and Leisure	schip
211	τρίτος –η –ον	third	adjective: numeral	Measurements and Numerals	derde
212	πνεῦμα πνεύματος, τό	wind, breath, spirit	noun: 3rd declension consonant stem	Earth	adem, wind, geest
213	ὀρθός –ή –όν	upright, straight, true, regular	adjective: 1st and 2nd declension	Measurements and Numerals	recht, rechtop; juist, correct
214	θάλασσα θαλάσσης, ἡ	the sea	noun: 1st declension	Earth	zee
215	διαφέρω, διοίσω, 1 aor. διήνεγκα, 2 aor. διήνεγκον, διενήνοχα, διενήνεγμαι	carry in different ways, spread; differ; (impers.) διαφέρει it makes a difference to (+dat.)	verb: -ω liquid stem	Work and Leisure	verschillen; διαφέρει: het maakt verschil
216	μέχρι	until (conj.); as far as, up to (prep. +gen.)	preposition	Time	tot (+ gen.); totdat
217	δόξα δόξης, ἡ	opinion, judgment; reputation, honor, glory	noun: 1st declension	Ethics and Morals	mening; roem, faam, eer
218	κεφαλή –ῆς, ἡ	head	noun: 1st declension	Body Parts	hoofd
219	πῦρ πυρός, τό	fire	noun: 3rd declension consonant stem	World Order	vuur
220	ἐλάσσων ἔλασσον	smaller, less, fewer (comp. of μικρός)	adjective: 3rd declension -ων, -ον	Measurements and Numerals	kleiner, minder
221	πούς ποδός, ὁ	foot	noun: 3rd declension consonant stem	Body Parts	voet
222	ἱερός –ά –όν	holy, venerated, divine	adjective: 1st and 2nd declension	Religion	heilig
223	εὐθύς εὐθεῖα εὐθύ	straight, direct; (adv.) immediately	adjective: -ύς, -εῖα, -ύ	Measurements and Numerals	recht, direct; meteen
224	εἶμι, infin. ἰέναι, ptc. ἰών, ἰοῦσα, ἰόν	I will go (fut. of ἔρχομαι)	verb: -μι	Movement	ik zal gaan
225	ταχύς ταχεῖα ταχύ	quick, fast; (adv.) τάχα quickly; perhaps	adjective: -ύς, -εῖα, -ύ	Characteristics	snel; τάχα: snel, misschien
226	ποταμός –οῦ, ὁ	river, stream	noun: 2nd declension	Earth	rivier
227	οὐσία οὐσίας, ἡ	substance, property; essence	noun: 1st declension	Family and Friendship and the Home	wezen, bestaan; bezit
228	ἀριθμός –οῦ, ὁ	number	noun: 2nd declension	Measurements and Numerals	getal, aantal
229	ὕστερος ὑστέρα ὕστερον	coming after, following (+gen.); next, later; (adv.) ὕστερον afterwards	adjective: 1st and 2nd declension	Direction	later, volgend; ὕστερον: later
230	φυλάσσω, φυλάξω, ἐφύλαξα, πεφύλαχα, πεφύλαγμαι, ἐφυλάχθην	watch, guard, defend; (mid.) be on one’s guard against (+acc.)	verb: -ω palatal stem	War and Peace	bewaken, beschermen; (med.) oppassen voor
231	καιρός καιροῦ, ὁ	the right time	noun: 2nd declension	Time	juiste moment, gelegenheid
232	οἰκέω, οἰκήσω, ᾤκησα, ᾤκηκα, ᾠκήθην	inhabit, occupy	verb: contracted	Family and Friendship and the Home	bewonen, wonen
233	ἀμφότερος ἀμφοτέρα ἀμφότερον	both	adjective: 1st and 2nd declension	Measurements and Numerals	beide
234	σημεῖον σημείου, τό	sign, signal, mark	noun: 2nd declension	Showing and Finding	teken, kenmerk
235	παρέχω, παρέξω, παρέσχον, παρέσχηκα, impf. παρεῖχον	provide, present, offer; allow, grant	verb: -ω palatal stem	Taking and Giving	verschaffen, aanbieden; toestaan
236	ἑκάτερος ἑκατέρα ἑκάτερον	each (of two)	pronoun	Pronouns/Interrogatives	elk van beide
237	δηλόω, δηλώσω, ἐδήλωσα, δεδήλωκα, ἐδηλώθην	show, declare, explain	verb: contracted	Showing and Finding	tonen, duidelijk maken
238	οἰκεῖος οἰκεία οἰκεῖον	domestic, of the house; one’s own; fitting, suitable	adjective: 1st and 2nd declension	Family and Friendship and the Home	huiselijk, eigen; verwant; passend
239	κελεύω, κελεύσω, ἐκέλευσα, κεκέλευκα, κεκέλευσμαι, ἐκελεύσθην	order, bid, command (+acc. and infin.)	verb: -ω vowel stem	Law and Judgment	bevelen
240	τέλος τέλους, τό	end, fulfillment, achievement	noun: 3rd declension σ-stem	Life and Death	einde, doel, voltooiing
241	ἡγέομαι, ἡγήσομαι, ἡγησάμην, ἥγημαι	lead, be the leader; regard, believe, think	verb: deponent	The Mind, Perceiving and Learning	leiden, aanvoeren; menen, achten
242	ἄξιος ἀξία ἄξιον	worthy, deserving	adjective: 1st and 2nd declension	Ethics and Morals	waardig, waard
243	ἦ	truly (emphasizes what follows)	adverb	Particles	waarlijk, echt
244	δῆλος δήλη δῆλον	visible, clear, manifest	adjective: 1st and 2nd declension	Showing and Finding	duidelijk, zichtbaar
245	τοίνυν (τοί-νυν)	therefore, accordingly (inferential); further, moreover (transitional)	adverb	Particles	dus, bijgevolg; verder
246	πολέμιος πολεμία πολέμιον	hostile; οἱ πολέμιοι the enemy	adjective: 1st and 2nd declension	War and Peace	vijandig; οἱ πολέμιοι: de vijanden
247	ἔρομαι, ἐρήσομαι, 2 aor. ἠρόμην	ask, ask one about (+double acc.)	verb: deponent	Writing and Talking	vragen
248	ἀδελφός –οῦ, ὁ	brother	noun: 2nd declension	Family and Friendship and the Home	broer
249	μέγεθος μεγέθους, τό	greatness, size, magnitude	noun: 3rd declension σ-stem	Measurements and Numerals	grootte, omvang
250	εἴτε…εἴτε	whether…or	conjunction: coordinating	Conjunctions/Adverbs	hetzij ... hetzij, of ... of
251	κεῖμαι, κείσομαι	to lie, be situated, be laid up in store, be set up, be established or ordained (used as pf. pass. of τίθημι)	verb: deponent	Work and Leisure	liggen, gelegen zijn; vastgesteld zijn
252	πολλάκις	often	adverb	Time	vaak, dikwijls
253	πίνω, πίομαι, 2 aor. ἔπιον, πέπωκα, -πέπομαι, -επόθην	drink	verb: -ω liquid stem	The Senses and Feelings	drinken
254	χάρις χάριτος, ἡ	splendor, honor, glory; favor, goodwill, gratitude, thanks	noun: 3rd declension consonant stem	Ethics and Morals	gunst, dank; bevalligheid
255	ἔπειτα	then, next	adverb	Time	daarna, vervolgens
256	ζητέω, ζητήσω, ἐζήτησα, ἐζήτηκα	seek	verb: contracted	Showing and Finding	zoeken
257	σχῆμα σχήματος, τό	form, figure, appearance, character	noun: 3rd declension consonant stem	Measurements and Numerals	vorm, gestalte, houding
258	τροφή τροφῆς, ἡ	nourishment, food	noun: 1st declension	Life and Death	voedsel, voeding
259	μανθάνω, μαθήσομαι, ἔμαθον, μεμάθηκα	learn, ascertain	verb: -ω liquid stem	The Mind, Perceiving and Learning	leren, vernemen
260	ἐνταῦθα	here, there	adverb	Direction	hier, daar; toen
261	φεύγω, φεύξομαι, ἔφυγον, πέφευγα	flee, run away, avoid, shun	verb: -ω palatal stem	Movement	vluchten, ontvluchten, vermijden
262	ἵππος ἵππου, ὁ	horse	noun: 2nd declension	Animals and Plants	paard
263	κόσμος κόσμου, ὁ	order; ornament, decoration, adornment; world, universe	noun: 2nd declension	World Order	orde; sieraad; wereld, kosmos
264	αἷμα αἵματος, τό	blood	noun: 3rd declension consonant stem	Body Parts	bloed
265	αἱρέω, αἱρήσω, 2 aor. εἷλον, ᾕρηκα, ᾕρημαι, ᾑρέθην	take, grasp, take by force; (mid.) choose	verb: contracted	Taking and Giving	nemen, grijpen, innemen; (med.) kiezen
266	προστίθημι, προσθήσω, προσέθηκα, προστέθηκα, προστέθειμαι (but commonly προσκεῖμαι instead), προσετέθην	add; (med.) join	verb: -μι	Taking and Giving	toevoegen; (med.) zich aansluiten
267	ἀξιόω, ἀξιώσω, ἠξίωσα, ἠξίωκα, ἠξίωμαι, ἠξιώθην	consider worthy; require, demand, ask, claim	verb: contracted	Ethics and Morals	waardig achten; eisen, vragen
268	ἕως	until; while, so long as	conjunction: subordinating	Time	totdat; zolang als
269	νέος νέα νέον	young, new, fresh	adjective: 1st and 2nd declension	Characteristics	jong, nieuw
270	ἔοικα, ptc. εἰκώς	be like, look like (+dat.); seem; befit	verb: irregular	Characteristics	lijken op (+ dat.); schijnen; passen
271	κἄν (καὶ-ἄν)	even if (+subj.)	conjunction: subordinating	Conjunctions/Adverbs	ook al, zelfs als (+ conj.)
272	καθίστημι, καταστήσω, κατέστησα, κατέστην, καθέστηκα, plupf. καθειστήκη, κατεστάθην	set down, establish; bring into a certain state, render	verb: -μι	Work and Leisure	plaatsen, aanstellen, instellen; in een toestand brengen
273	τέχνη τέχνης, ἡ	art, skill, craft	noun: 1st declension	Government and Society	kunst, vaardigheid, ambacht
274	χρῆμα χρήματος, τό	thing, matter; (more commonly in pl.) goods or property, esp. money	noun: 3rd declension consonant stem	Government and Society	zaak, ding; χρήματα: geld, bezit
275	σῴζω, σώσω, ἔσωσα, σέσωκα, ἐσώθην	save	verb: -ω dental stem	Help and Safety	redden, bewaren
276	πέμπω, πέμψω, ἔπεμψα, πέπομφα, πέπεμμαι, ἐπέμφθην	send	verb: -ω labial stem	Movement	zenden, sturen
277	φωνή φωνῆς, ἡ	sound, voice	noun: 1st declension	The Senses and Feelings	stem, klank, geluid
278	ἕνεκα	on account of, for the sake of (+gen.)	preposition	Prepositions without Direction	wegens, omwille van (+ gen.)
279	ἀπόλλυμι, ἀπολῶ, ἀπώλεσα, 2 aor. mid. ἀπωλόμην, pf. ἀπολώλεκα (“I have utterly destroyed”) or ἀπόλωλα (“I am undone”)	kill, destroy; (mid.) perish, die	verb: -μι	Life and Death	doden, vernietigen, verliezen; (med.) omkomen
280	θάνατος θανάτου, ὁ	death	noun: 2nd declension	Life and Death	dood
281	νύξ νυκτός, ἡ	night	noun: 3rd declension consonant stem	World Order	nacht
282	ὁδός ὁδοῦ, ἡ	road, way, path	noun: 2nd declension	Government and Society	weg
283	ἔθνος ἔθνους, τό	nation	noun: 3rd declension σ-stem	Government and Society	volk, stam
284	ἀποδίδωμι, ἀποδώσω, ἀπέδωκα, ἀποδέδωκα, ἀποδέδομαι, ἀπεδόθην	give back; render; allow; (mid.) sell	verb: -μι	Taking and Giving	teruggeven; (med.) verkopen
285	νοῦς, νοῦ, ὁ (other dialects: νόος, νόου, ὁ)	mind, perception, sense	noun: 2nd declension	The Mind, Perceiving and Learning	verstand, geest
286	μένω, μενῶ, ἔμεινα, μεμένηκα	stay, remain, endure, await	verb: -ω liquid stem	Movement	blijven; afwachten
287	ἀποθνῄσκω, ἀποθανοῦμαι, 2 aor. ἀπέθανον, ἀποτέθνηκα	die	verb: -ω palatal stem	Life and Death	sterven
288	πάνυ	altogether, entirely	adverb	Conjunctions/Adverbs	helemaal, zeer
289	εὖ	well (opp. κακῶς); thoroughly, competently; happily, fortunately	adverb	Conjunctions/Adverbs	goed, wel
290	κρίνω, κρινῶ, ἔκρινα, κέκρικα, κέκριμαι, ἐκρίθην	judge, decide, determine	verb: -ω liquid stem	Law and Judgment	oordelen, beslissen
291	ἀναιρέω, ἀναιρήσω, ἀνεῖλον, ἀνῄρηκα, ἀνῄρημαι, ἀνῃρέθην	raise, take up; kill, destroy	verb: contracted	War and Peace	opnemen; doden, vernietigen
292	μακρός –ά –όν	long, tall, large, long-lasting	adjective: 1st and 2nd declension	Measurements and Numerals	lang, groot
293	ἥκω, ἥξω, pf. ἧκα	I have come, I am present	verb: -ω palatal stem	Movement	gekomen zijn, er zijn
294	ἡδονή –ῆς, ἡ	pleasure, enjoyment	noun: 1st declension	Work and Leisure	genot, vreugde
295	μήτηρ μητρός, ἡ	mother	noun: 3rd declension irregular	Family and Friendship and the Home	moeder
296	δεινός –ή –όν	awesome, terrible; clever, clever at (+infin.)	adjective: 1st and 2nd declension	Characteristics	vreselijk, ontzagwekkend; bekwaam, knap
297	διαφορά –ᾶς, ἡ	difference, disagreement	noun: 1st declension	Law and Judgment	verschil, onenigheid
298	κρατέω, κρατήσω, ἐκράτησα, κεκράτηκα, κεκράτημαι, ἐκρατήθην	be victorious, conquer, rule, surpass, excel (+gen.)	verb: contracted	Government and Society	overwinnen, heersen over (+ gen.)
299	δῆμος δήμου, ὁ	the (common) people; country district (opp. πόλις)	noun: 2nd declension	Humanity and Being	volk; gemeente, dorp
300	οὐρανός –οῦ, ὁ	sky, heaven	noun: 2nd declension	World Order	hemel
301	ἕπομαι ἕψομαι, 2 aor. ἑσπόμην	follow	verb: deponent	Movement	volgen (+ dat.)
302	ἥσσων ἧσσον	less, weaker (comp. of κακός or μικρός)	adjective: 3rd declension -ων, -ον	Characteristics	minder, zwakker
303	ὄρος ὄρους, τό	mountain, hill	noun: 3rd declension σ-stem	Earth	berg
304	πλήν	(prep.) except (+gen.); (conj.) except that, unless, but	preposition	Prepositions without Direction	behalve (+ gen.); maar
305	τέσσαρες τέσσαρα	four	adjective: numeral	Measurements and Numerals	vier
306	δυνατός –ή –όν	strong, powerful, able	adjective: 1st and 2nd declension	Characteristics	machtig, sterk, bekwaam; mogelijk
307	οἶκος οἴκου, ὁ	house, home, family	noun: 2nd declension	Family and Friendship and the Home	huis, huishouden, familie
308	ἄριστος ἀρίστη ἄριστον	best, noblest (superl. of ἀγαθός)	adjective: 1st and 2nd declension	Ethics and Morals	best, voortreffelijkst
309	ῥᾴδιος ῥᾳδία ῥᾴδιον	easy	adjective: 1st and 2nd declension	Characteristics	gemakkelijk
310	ἀφαιρέω, ἀφαιρήσω, ἀφεῖλον, ἀφῄρηκα, ἀφῄρημαι, ἀφῃρέθην	take from, take away	verb: contracted	Taking and Giving	wegnemen, afnemen
311	τύχη τύχης, ἡ	luck, fortune (good or bad), fate, chance	noun: 1st declension	Life and Death	lot, toeval, geluk
312	φανερός –ά –όν	clear, evident	adjective: 1st and 2nd declension	The Senses and Feelings	duidelijk, zichtbaar
313	πρόσωπον προσώπου, τό	face, mask, person	noun: 2nd declension	Body Parts	gezicht; masker; persoon
314	πιστεύω, πιστεύσω, ἐπίστευσα, πεπίστευκα, πεπίστευμαι, ἐπιστεύθην	trust, rely on, believe in (+dat.)	verb: -ω vowel stem	The Senses and Feelings	vertrouwen, geloven (+ dat.)
315	διδάσκω, διδάξω, ἐδίδαξα, δεδίδαχα, δεδίδαγμαι, ἐδιδάχθην	teach	verb: -ω palatal stem	The Mind, Perceiving and Learning	onderwijzen, leren
316	ἄνω	up, upwards	adverb	Direction	omhoog, boven
317	τάσσω, τάξω, ἔταξα, τέταχα, τέταγμαι, ἐτάχθην	arrange, put in order	verb: -ω palatal stem	Government and Society	opstellen, ordenen; bevelen
318	ὀφθαλμός –οῦ, ὁ	eye	noun: 2nd declension	Body Parts	oog
319	δέχομαι, δέξομαι, ἐδεξάμην, δέδεγμαι, -εδέχθην	take, accept; welcome, entertain	verb: deponent	Family and Friendship and the Home	ontvangen, aannemen
320	ἀφικνέομαι, ἀφίξομαι, 2 aor. ἀφικόμην, ἀφῖγμαι	come to, arrive at	verb: deponent	Movement	aankomen, bereiken
321	ἱκανός –ή –όν	sufficient, enough; competent, able to (+infin.)	adjective: 1st and 2nd declension	Help and Safety	voldoende; bekwaam
322	ἐργάζομαι, ἐργάσομαι, εἰργασάμην, εἴργασμαι	work, labor	verb: deponent	Work and Leisure	werken
323	μάχη μάχης, ἡ	battle	noun: 1st declension	War and Peace	gevecht, veldslag
324	τρέφω, θρέψω, ἔθρεψα, τέθραμμαι, ἐτράφην	nourish, feed, support, maintain; rear, educate	verb: -ω labial stem	Life and Death	voeden, onderhouden; opvoeden
325	ἀδύνατος –ον	impossible; powerless	adjective: 1st and 2nd declension	Government and Society	onmogelijk; machteloos
326	ἀκριβής –ές	exact, accurate, precise	adjective: 3rd declension -ης, -ες	Measurements and Numerals	nauwkeurig, precies
327	που	(enclitic) somewhere; I suppose, perhaps (to qualify an assertion)	adverb	Particles	ergens; wellicht, misschien
328	ὅθεν	from where, whence	adverb	Direction	vanwaar
329	στόμα στόματος, τό	mouth, face, opening	noun: 3rd declension consonant stem	Body Parts	mond; opening
330	χωρίς	separately, apart; (+gen.) without, separate from	adverb	Direction	apart; zonder (+ gen.)
331	κρείσσων κρεῖσσον	stronger, mightier; better, more excellent (comp. of ἀγαθός)	adjective: 3rd declension -ων, -ον	Characteristics	sterker, beter
332	βραχύς βραχεῖα βραχύ	brief, short	adjective: -ύς, -εῖα, -ύ	Characteristics	kort
333	ἰσχυρός –ά –όν	strong	adjective: 1st and 2nd declension	Characteristics	sterk
334	ἀλήθεια ἀληθείας, ἡ	truth	noun: 1st declension	Ethics and Morals	waarheid
335	δίκη δίκης, ἡ	justice, lawsuit, trial, penalty	noun: 1st declension	Law and Judgment	recht, gerechtigheid; proces; straf
336	χωρίον χωρίου, τό	place, spot, district	noun: 2nd declension	Earth	plaats, gebied
337	ἡδύς ἡδεῖα ἡδύ	sweet, pleasant	adjective: -ύς, -εῖα, -ύ	Characteristics	zoet, aangenaam
338	νόσος νόσου, ἡ	disease, sickness	noun: 2nd declension	Life and Death	ziekte
339	λίθος λίθου, ὁ	stone	noun: 2nd declension	Earth	steen
340	παλαιός –ά –όν	old, ancient	adjective: 1st and 2nd declension	Characteristics	oud
341	ἀφίημι, ἀφήσω, ἀφῆκα, ἀφεῖκα, ἀφεῖμαι, ἀφείθην	send away, let go; let alone, neglect	verb: -μι	Taking and Giving	wegzenden, loslaten; laten varen
342	ἄλλως	otherwise	adverb	Pronouns/Interrogatives	anders
343	πρᾶξις πράξεως, ἡ	action, transaction, business	noun: 3rd declension ι-stem	Work and Leisure	handeling, daad
344	σαφής σαφές	clear, distinct, plain	adjective: 3rd declension -ης, -ες	Showing and Finding	duidelijk
345	σοφός –ή –όν	wise, clever, skilled	adjective: 1st and 2nd declension	Characteristics	wijs, knap, bekwaam
346	νικάω, νικήσω, ἐνίκησα, νενίκηκα, νενίκημαι, ἐνικήθην	conquer, win	verb: contracted	War and Peace	overwinnen
347	ὁμολογέω, ὁμολογήσω, ὡμολόγησα, ὡμολόγηκα, ὡμολόγημαι, ὡμολογήθην	agree with, say the same thing as (+dat.)	verb: contracted	Law and Judgment	instemmen met, akkoord gaan (+ dat.); toegeven
348	ναός (νεώς) ναοῦ (νεώ), ὁ	temple	noun: 2nd declension	Religion	tempel
349	αὖ, αὖθις	moreover; on the other hand; back (again)	adverb	Particles	opnieuw, weer; anderzijds
350	πατρίς πατρίδος, ἡ	fatherland	noun: 3rd declension consonant stem	Government and Society	vaderland
351	ὀξύς ὀξεῖα ὀξύ	sharp, keen, shrill, pungent	adjective: -ύς, -εῖα, -ύ	Characteristics	scherp, snel, schel
352	καίτοι (καί-τοι)	and indeed, and yet	adverb	Particles	en toch, nochtans
353	πλέον	more, rather	adverb	Measurements and Numerals	meer
354	πλέων πλέον	more, larger (comp. of πολύς)	adjective: 3rd declension -ων, -ον	Measurements and Numerals	meer, groter
355	γνώμη γνώμης, ἡ	thought, intelligence, opinion, purpose	noun: 1st declension	The Mind, Perceiving and Learning	mening, inzicht, plan
356	τιμή τιμῆς, ἡ	honor, esteem; price, value; office, magistracy	noun: 1st declension	Ethics and Morals	eer, aanzien; prijs, waarde; ambt
357	μεταξύ	between (prep. + gen.); in the midst of (adv.)	preposition	Direction	tussen (+ gen.); intussen
358	προσήκω προσήξω	belong to, have to do with; be fitting for (+dat.); arrive at; οἱ προσήκοντες relatives; τὰ προσήκoντα duties	verb: -ω palatal stem	Ethics and Morals	toebehoren; passen (+ dat.); οἱ προσήκοντες: verwanten
359	πρίν	before, until	conjunction: subordinating	Time	voordat, totdat
360	ἀδικέω, ἀδικήσω, ἠδίκησα, ἠδίκηκα, ἠδίκημαι, ἠδικήθην	do wrong; injure	verb: contracted	Ethics and Morals	onrecht doen, onrecht aandoen
361	στρατηγός –οῦ, ὁ	leader of an army, commander, general	noun: 2nd declension	War and Peace	legeraanvoerder, generaal, strateeg
362	οὐκέτι	no longer, no more	adverb	Time	niet meer
363	πρέσβυς πρέσβεως, ὁ	old man; (pl.) ambassadors	noun: 3rd declension -εύς, -έως	Government and Society	oude man; (mv.) gezanten
364	παύω, παύσω, ἔπαυσα, πέπαυκα, πέπαυμαι, ἐπαύθην	stop, put an end to; (mid.) cease	verb: -ω vowel stem	Movement	doen ophouden, beëindigen; (med.) ophouden
365	τελευτάω, τελευτήσω, ἐτελεύτησα, τετελεύτηκα, τετελεύτημαι, ἐτελευτήθην	finish; die	verb: contracted	Life and Death	beëindigen; sterven
366	μίγνυμι, μίξω, ἔμιξα, μέμιχα,μέμιγμαι, ἐμίχθην	mix, mingle	verb: -μι	Work and Leisure	mengen
367	λαός λαοῦ, ὁ	the people, folk	noun: 2nd declension	Humanity and Being	volk
368	θυγάτηρ θυγατρός, ἡ	daughter	noun: 3rd declension irregular	Family and Friendship and the Home	dochter
369	οἰκία οἰκίας, ἡ	building, house, dwelling	noun: 1st declension	Family and Friendship and the Home	huis, woning
370	παραδίδωμι, παραδώσω, παρέδωκα, παραδέδωκα, παραδέδομαι, παρεδόθην	transmit, hand over, surrender	verb: -μι	Taking and Giving	overgeven, overleveren
371	ἔξω	outside; except	adverb	Direction	buiten; behalve
372	νῆσος νήσου, ἡ	island	noun: 2nd declension	Earth	eiland
373	ἐκεῖ	there	adverb	Direction	daar
374	ἐπιστήμη –ης, ἡ	knowledge, understanding, skill	noun: 1st declension	The Mind, Perceiving and Learning	kennis, wetenschap, vaardigheid
375	ἐάω, ἐάσω, εἴασα	allow, permit (+acc. and infin.); let be, let alone	verb: contracted	Law and Judgment	toelaten, laten
376	θαυμάζω, θαυμάσομαι, ἐθαύμασα, τεθαύμακα, τεθαύμασμαι, ἐθαυμάσθην	to be in awe (of), be astonished (at)	verb: -ω dental stem	The Senses and Feelings	zich verwonderen (over), bewonderen
377	αἰσθάνομαι, αἰσθήσομαι, 2 aor. ᾐσθόμην, ᾔσθημαι	perceive, understand, hear, learn	verb: deponent	The Mind, Perceiving and Learning	waarnemen, merken, bemerken
378	χαίρω, χαιρήσω, κεχάρηκα, κεχάρημαι, ἐχάρην	to be happy, rejoice at (+dat.), take joy in (+ptc.); χαῖρε, (pl.) χαίρετε hello, goodbye	verb: -ω liquid stem	The Senses and Feelings	zich verheugen (over) (+ dat.); χαῖρε: gegroet, vaarwel
379	χαλεπός –ή –όν	difficult, troublesome	adjective: 1st and 2nd declension	Characteristics	moeilijk, lastig
380	τέκνον τέκνου, τό	child	noun: 2nd declension	Family and Friendship and the Home	kind
381	καταλαμβάνω, καταλήψομαι, κατέλαβον, κατείληφα, κατείλημμαι, κατελήφθην	seize, catch up with, arrest, compel	verb: -ω labial stem	War and Peace	grijpen, innemen, inhalen, betrappen
382	μάχομαι, μαχοῦμαι, ἐμαχεσάμην, μεμάχημαι	fight (against) (+dat.)	verb: deponent	War and Peace	vechten (tegen) (+ dat.)
383	μιμνήσκω, -μνήσω, -έμνησα, pf. μέμνημαι, ἐμνήσθην	remind; (in pf. mid.) remember	verb: -ω palatal stem	The Mind, Perceiving and Learning	herinneren aan; (pf. med.) zich herinneren
384	θνῄσκω, 2 aor. -έθανον, τέθνηκα, θανοῦμαι	to die, be dying	verb: -ω palatal stem	Life and Death	sterven; τέθνηκα: dood zijn
384	λύω, λύσω, ἔλυσα, λέλυκα, λέλυμαι, ἐλύθην	loosen, unbind, set free; undo, destroy	verb: -ω vowel stem	War and Peace	losmaken, bevrijden; ontbinden, vernietigen
386	τιμάω, τιμήσω, ἐτίμησα, τετίμηκα, τετίμημαι, ἐτιμήθην	to honor	verb: contracted	Ethics and Morals	eren
387	τεῖχος τείχους, τό	wall	noun: 3rd declension σ-stem	Government and Society	muur, stadsmuur
388	ἴσως	equally, probably, perhaps	adverb	Conjunctions/Adverbs	misschien, waarschijnlijk; evenzeer
389	αἴρω, ἀρῶ, ἦρα, ἦρκα, ἦρμαι, ἤρθην	take up, lift up; remove	verb: -ω palatal stem	Movement	opheffen, optillen; wegnemen
390	ἀποκτείνω, ἀποκτενῶ, ἀπέκτεινα, ἀπέκτονα	kill	verb: -ω liquid stem	War and Peace	doden
391	στρατιώτης –ου, ὁ	soldier	noun: 2nd declension	War and Peace	soldaat
392	ἄνευ	without (+gen.)	preposition	Prepositions without Direction	zonder (+ gen.)
393	πότερος ποτέρα πότερον	which of the two? πότερον whether	adjective: 1st and 2nd declension	Pronouns/Interrogatives	welke van beide?; πότερον: of
394	ἁπλῶς	simply, singly, in one way	adverb	Measurements and Numerals	eenvoudigweg, zonder meer
395	πίπτω, πεσοῦμαι, ἔπεσον, πέπτωκα	fall, fall down	verb: -ω dental stem	War and Peace	vallen
396	τέταρτος –η –ον	fourth	adjective: numeral	Measurements and Numerals	vierde
397	κατασκευάζω, κατασκευάσω, κατεσκεύασα	equip, furnish, make ready	verb: -ω dental stem	Work and Leisure	uitrusten, klaarmaken, bouwen
398	ἐχθρός –ά –όν	hated, hateful; hostile to (+dat.)	adjective: 1st and 2nd declension	Characteristics	gehaat; vijandig (+ dat.); ἐχθρός: vijand
399	ἀγών ἀγῶνος, ὁ	contest; struggle	noun: 3rd declension consonant stem	Government and Society	wedstrijd, strijd
400	κωλύω, κωλύσω, ἐκώλυσα, κεκώλυκα, κεκώλυμαι, ἐκωλύθην	hinder, check, prevent (+acc. and infin.)	verb: -ω vowel stem	War and Peace	verhinderen, beletten
401	ἁμαρτάνω, ἁμαρτήσομαι, ἡμάρτησα, 2 aor. ἥμαρτον, ἡμάρτηκα, ἡμάρτημαι, ἡμαρτήθην	miss the mark (+gen.); fail, be wrong, make a mistake	verb: -ω dental stem	Ethics and Morals	missen (+ gen.); zich vergissen, fout doen
402	διαφθείρω, διαφθερῶ, διέφθειρα, διέφθαρκα, διέφθαρμαι, διεφθάρην	destroy; corrupt	verb: -ω liquid stem	War and Peace	vernietigen; bederven, omkopen
403	πως	(enclitic) somehow, in some way, in any way	adverb	Particles	op een of andere manier
404	πόνος πόνου, ὁ	work, labor; stress, trouble, pain	noun: 2nd declension	Work and Leisure	arbeid, moeite, pijn
405	ἔνθα	there	adverb	Direction	daar; toen
406	τάξις τάξεως, ἡ	arrangement, order; military unit	noun: 3rd declension ι-stem	War and Peace	opstelling, orde; slagorde, afdeling
407	πειράω (usually mid. πειράομαι), πειράσομαι, ἐπείρασα, πεπείραμαι, ἐπειράθην	attempt, try, make a trial of (+gen.)	verb: contracted	Work and Leisure	proberen, op de proef stellen (+ gen.)
408	φοβέω, φοβήσω, ἐφόβησα, πεφόβημαι, ἐφοβήθην	put to flight; (mid. and pass.) flee, fear	verb: contracted	The Senses and Feelings	op de vlucht jagen; (med./pass.) vrezen
409	βάλλω, βαλῶ, 2 aor. ἔβαλον, βέβληκα, βέβλημαι, ἐβλήθην	throw, hurl; throw at, hit (acc.) with (dat.)	verb: -ω liquid stem	Movement	werpen, gooien; treffen
410	πονηρός –ά –όν	worthless, bad, wicked	adjective: 1st and 2nd declension	Characteristics	slecht, ellendig
411	ξένος ξένου, ὁ	guest-friend; foreigner, stranger	noun: 2nd declension	Government and Society	vreemdeling; gastvriend
412	βάρβαρος –ον	non-Greek, foreign; barbarous	adjective: 1st and 2nd declension	Government and Society	niet-Grieks, vreemd; barbaars
413	ὅπου	where, wherever	conjunction: subordinating	Conjunctions/Adverbs	waar, waar ook
414	συμφέρω, συνοίσω, 1 aor. συνήνεγκα	benefit, be useful or profitable to (+dat.); (impers.) συμφέρει it is of use, expedient (+infin.); τὸ συμφέρον use, profit, advantage	verb: irregular	Help and Safety	nuttig zijn (+ dat.); τὸ συμφέρον: het voordeel
415	πυνθάνομαι, πεύσομαι, 2 aor. ἐπυθόμην, πέπυσμαι	learn, hear, inquire concerning (+gen.)	verb: deponent	The Mind, Perceiving and Learning	vernemen, horen, informeren
