rank	headword	en	pos	group	nl
304	cēdō cēdere cessī cessum	go, move; yield	Verb: 3rd Conjugation -ō	War and Peace	gaan; wijken, toegeven
305	quō	for which reason; to or in what place; to what end, for what purpose?	Adverb	Pronouns/Interrogatives	waarheen; waardoor; waartoe
306	saxum -ī n.	rock, cliff, crag	Noun: 2nd Declension	Earth and Water	rots, steen
307	ve	or (postpositive enclitic)	Conjunction	Conjunctions/Adverbs	of
308	aetās -tātis f.	age, time of life	Noun: 3rd Declension	Lengths of Time	leeftijd, tijd
309	fēlīx -īcis	lucky	Adjective: 3rd Declension	Personality Traits/Characteristics	gelukkig
310	loquor loquī locūtus sum	speak, talk	Verb: Deponent	Speech/Oratory	spreken, praten
311	quantus -a -um	(interr.) how great? (rel.) of what size, amount, etc. (as subst.) what amount? (rel.) which amount; quantī, at what price? (rel.) at which price	Pronoun	Pronouns/Interrogatives	hoe groot?, hoeveel?; zo groot als
312	coepī coepisse coeptus	begin	Verb: Irregular	Time	beginnen, begonnen zijn
313	igitur	therefore	Conjunction	Conjunctions/Adverbs	dus, daarom
314	iūs iūris n.	right, justice, law	Noun: 3rd Declension	Justice	recht
315	mūtō -āre	change	Verb: 1st Conjugation	Making/Doing	veranderen
316	inveniō -venīre -vēnī -ventum	find; discover	Verb: 4th Conjugation	Travel	vinden, ontdekken
317	prīnceps -cipis	first, chief; (as subst.) leader, person in charge	Adjective: 3rd Declension	The City	eerste, voornaamste; leider, vorst
318	ops opis f.	assistance, resources	Noun: 3rd Declension	Business/Money	hulp; opes: middelen, rijkdom, macht
319	recipiō -cipere -cēpī -ceptum	take back, receive; sē recipere, betake oneself, go	Verb: 3rd Conjugation -iō	Verbs of Transport	terugnemen, ontvangen; se recipere: zich terugtrekken
320	sōl sōlis m.	sun	Noun: 3rd Declension	Air and Fire	zon
321	cōnsul -ulis m.	consul	Noun: 3rd Declension	The City	consul
322	orbis -is m.	circle; orbis terrārum: world	Noun: 3rd Declension	Geography	kring, cirkel; orbis terrarum: wereld
323	turba -ae f.	crowd, uproar	Noun: 1st Declension	The City	menigte, verwarring
324	ager agrī m.	field	Noun: 2nd Declension	Animals/Plants	akker, veld; grondgebied
325	solvō solvere solvī solūtum	release, set sail	Verb: 3rd Conjugation -ō	Travel	losmaken, betalen; uitvaren
326	vitium -ī n.	flaw, fault, crime	Noun: 2nd Declension	Justice	gebrek, fout, ondeugd
327	vulnus -eris n.	wound	Noun: 3rd Declension	Violence	wonde
328	inde	from there, from then	Adverb	Place	vandaar, daarna
329	senātus -ūs m.	senate	Noun: 4th Declension	The City	senaat
330	ūtor ūtī ūsus sum	use, consume, employ (+ abl.)	Verb: Deponent	Making/Doing	gebruiken (+ abl.)
331	cōpia -ae f.	abundance; (pl.) troops	Noun: 1st Declension	War and Peace	overvloed, voorraad; copiae: troepen
332	opus operis n.	work	Noun: 3rd Declension	Business/Money	werk
333	colō colere coluī cultum	inhabit, cultivate	Verb: 3rd Conjugation -ō	Animals/Plants	bewonen, bebouwen; vereren
334	vōtum -ī n.	solemn promise, vow; hope	Noun: 2nd Declension	Religion	gelofte; wens
335	iugum -ī n.	yoke; ridge, chain of hills	Noun: 2nd Declension	Animals/Plants	juk; bergrug
336	quā	where, how	Pronoun	Pronouns/Interrogatives	waar(langs), hoe
337	tellus tellūris f.	earth	Noun: 3rd Declension	Earth and Water	aarde, land
338	numerus -ī m.	number, amount	Noun: 2nd Declension	Measurement	aantal, getal
339	cōgnōscō -gnōscere -gnōvī -gnitum	learn, understand	Verb: 3rd Conjugation -ō	Education/Knowledge	leren kennen; cognovisse: weten
340	victor -ōris m.	conqueror	Noun: 3rd Declension	War and Peace	overwinnaar
341	satis, sat	enough, sufficient, sufficiently	Adverb	Measurement	genoeg, voldoende
342	patria -ae f.	fatherland, country	Noun: 1st Declension	Geography	vaderland
343	seu	whether; seu ... seu: whether ... or → sīve	Conjunction	Conjunctions/Adverbs	of; seu ... seu: hetzij ... hetzij
344	cāsus -ūs m.	a fall; chance, accident	Noun: 4th Declension	Violence	val; toeval, ongeluk
345	frangō frangere frēgī frāctum	break, shatter	Verb: 3rd Conjugation -ō	Violence	breken, verbrijzelen
346	cīvitās -ātis f.	citizenship, state	Noun: 3rd Declension	The City	staat; burgerrecht
347	nōscō nōscere nōvī nōtum	learn, know	Verb: 3rd Conjugation -ō	Education/Knowledge	leren kennen; novisse: kennen, weten
348	proelium -ī n.	battle	Noun: 2nd Declension	War and Peace	gevecht, veldslag
349	ēripiō -ripere -ripuī -reptum	snatch away, rescue, save	Verb: 3rd Conjugation -iō	Verbs of Transport	ontrukken, redden
350	mundus -ī m.	world, universe, heavens	Noun: 2nd Declension	Earth and Water	wereld, heelal
351	cursus -ūs m.	course, advance	Noun: 4th Declension	Athletics	loop, koers
352	vix	scarcely	Adverb	Conjunctions/Adverbs	nauwelijks
353	nāvis -is f.	ship	Noun: 3rd Declension	Travel	schip
354	lacrima -ae f.	tear	Noun: 1st Declension	Emotions	traan
355	hūmānus -a -um	human	Adjective: 1st and 2nd Declension	People	menselijk
356	mollis -e	soft, yielding, gentle	Adjective: 3rd Declension	Other Senses	zacht, week, teder
357	maneō manēre mānsī mānsum	remain	Verb: 2nd Conjugation	Travel	blijven
358	āgmen -minis n.	line of march	Noun: 3rd Declension	War and Peace	leger (in marsorde), colonne
359	sīdus -eris n.	star, constellation	Noun: 3rd Declension	Air and Fire	ster, sterrenbeeld
360	glōria -ae f.	glory, fame	Noun: 1st Declension	Social Life	roem, glorie
361	diū:	for a long time	Adverb	Time	lang, lange tijd
362	sīve	whether; sīve ... sīve: whether ... or → seu	Conjunction	Conjunctions/Adverbs	of; sive ... sive: hetzij ... hetzij
363	tamquam	so as, just as	Adverb	Conjunctions/Adverbs	zoals, als het ware, alsof
364	fuga -ae f.	flight, route	Noun: 1st Declension	Travel	vlucht
365	tūtus -a -um	safe, protected	Adjective: 1st and 2nd Declension	War and Peace	veilig
366	auris -is f.	ear	Noun: 3rd Declension	The Body	oor
367	aliēnus -a -um	foreign, strange	Adjective: 1st and 2nd Declension	Geography	van een ander, vreemd
368	hūc	to this place	Adverb	Place	hierheen
369	taceō -ēre -uī -itum	be silent; tacitus -a -um, silent	Verb: 2nd Conjugation	Other Senses	zwijgen; tacitus: zwijgend
370	legiō -ōnis f.	legion	Noun: 3rd Declension	War and Peace	legioen
371	ostendō ostendere ostendī ostentum	show, hold out	Verb: 3rd Conjugation -ō	Other Senses	tonen, laten zien
372	socius -a -um	friendly, allied; socius -ī m.: partner, comrade	Adjective: 1st and 2nd Declension	Social Life	bevriend, verbonden; socius: bondgenoot, makker
373	prōsum prodesse profuī	be of use, do good, help (+ dat.)	Verb: Irregular	Social Life	nuttig zijn, helpen (+ dat.)
374	āra -ae f.	altar	Noun: 1st Declension	Religion	altaar
375	lūmen luminis n.	light	Noun: 3rd Declension	Vision	licht
376	tegō tegere tēxī tēctum	cover, conceal	Verb: 3rd Conjugation -ō	Deception	bedekken, verbergen
377	turpis -e	ugly, unsightly; disgraceful	Adjective: 3rd Declension	Other Senses	lelijk; schandelijk
378	voluptās -ātis f.	pleasure, enjoyment	Noun: 3rd Declension	Social Life	genot, plezier
379	adhūc	thus far, to this point	Adverb	Place	tot nu toe, nog
380	grātia -ae f.	favor, influence, gratitude	Noun: 1st Declension	Social Life	dank, gunst, invloed; gratias agere: danken
381	iniūria -ae f.:	injustice, wrong, affront	Noun: 1st Declension	Justice	onrecht, belediging
382	latus -eris n.	side, flank	Noun: 3rd Declension	The Body	zijde, flank
383	dulcis -e	sweet	Adjective: 3rd Declension	Other Senses	zoet, lieflijk
384	postquam	after	Conjunction	Time	nadat
385	extrēmus -a -um	farthest, situated at the end or tip, extreme	Adjective: 1st and 2nd Declension	Geography	uiterste, laatste
386	tēctum -ī n.	roof; building, house	Noun: 2nd Declension	The House	dak; huis
387	ingenium -ī n.	disposition, ability, talent	Noun: 2nd Declension	Education/Knowledge	aanleg, talent, karakter
388	pāx pācis f.	peace	Noun: 3rd Declension	War and Peace	vrede
389	canō canere cecinī cantum	sing	Verb: 3rd Conjugation -ō	Writing/Poetry	zingen, bezingen
390	iuvō iuvāre iūvī iūtum	help, assist; please, delight	Verb: 1st Conjugation	Social Life	helpen; behagen, verheugen
391	campus -ī m.	plain, field	Noun: 2nd Declension	Earth and Water	vlakte, veld
392	claudō claudere clausī clausum	close, shut	Verb: 3rd Conjugation -ō	The House	sluiten, afsluiten
393	doceō -ēre -uī doctum	teach	Verb: 2nd Conjugation	Education/Knowledge	onderwijzen, leren
394	excipiō -cipere -cēpī -ceptum	take out	Verb: 3rd Conjugation -iō	Verbs of Transport	opvangen, ontvangen; uitzonderen
395	clārus -a -um	clear, distinguished	Adjective: 1st and 2nd Declension	Personality Traits/Characteristics	helder, beroemd
396	illīc	at that place, there; illinc: from that place	Adverb	Place	daar; illinc: vandaar
397	procul	at a distance	Adverb	Place	ver weg, in de verte
398	sacer sacra sacrum	holy, sacred	Adjective: 1st and 2nd Declension	Religion	heilig
399	mora -ae f.	delay, hindrance	Noun: 1st Declension	Time	vertraging, oponthoud
400	longē	far, far off	Adverb	Measurement	ver, veruit
401	super	over (adv. and prep. +acc.)	Adverb	Place	boven, over (+ acc.); bovendien
402	errō -āre	go astray, wander	Verb: 1st Conjugation	Travel	dwalen, zwerven; zich vergissen
403	sēdēs -is f.	seat, abode, habitation	Noun: 3rd Declension	The House	zetel, woonplaats, verblijf
404	cūr	why?	Adverb	Pronouns/Interrogatives	waarom?
405	coma -ae f.	hair, tresses	Noun: 1st Declension	The Body	haar, lokken
406	aiō	say, affirm, say yes; ut āiunt: as they say	Verb: Irregular	Speech/Oratory	zeggen, beweren; ja zeggen
407	gaudeō gaudēre gāvīsus sum	rejoice	Verb: 2nd Conjugation	Emotions	zich verheugen, blij zijn
408	beātus -a -um	happy, blessed, prosperous, fortunate	Adjective: 1st and 2nd Declension	Personality Traits/Characteristics	gelukkig, gezegend, rijk
409	perveniō -venīre -vēnī -ventum	arrive, reach	Verb: 4th Conjugation	Travel	aankomen, bereiken
410	vērus -a -um	true	Adjective: 1st and 2nd Declension	Speech/Oratory	waar, echt
411	incipiō -cipere -cēpī -ceptum	begin	Verb: 3rd Conjugation -iō	Time	beginnen
412	parcō parcere pepercī parsum	spare, be sparing of (+ dat.)	Verb: 3rd Conjugation -ō	War and Peace	sparen, ontzien (+ dat.)
413	vestis -is f.	garment, robe, clothing	Noun: 3rd Declension	Life and Being	kleed, gewaad, kleding
414	similis -e	like, similar	Adjective: 3rd Declension	Personality Traits/Characteristics	gelijkend, gelijk
415	caedēs -is f.	killing, slaughter	Noun: 3rd Declension	Violence	moord, bloedbad
416	ōrdō -īnis m.	order, rank	Noun: 3rd Declension	War and Peace	rij, orde, rang
417	optō -āre	choose, select	Verb: 1st Conjugation	Personality Traits/Characteristics	wensen; kiezen
418	virgō -inis f.	maiden, virgin, girl	Noun: 3rd Declension	People	meisje, maagd
419	legō legere lēgī lēctum	gather, choose, read	Verb: 3rd Conjugation -ō	Writing/Poetry	lezen; verzamelen, kiezen
420	aura -ae f.	breeze	Noun: 1st Declension	Air and Fire	bries, lucht
421	impetus -ūs m.	attack	Noun: 4th Declension	Violence	aanval, vaart
422	fōrma -ae f.	shape; beauty	Noun: 1st Declension	Other Senses	vorm, gestalte; schoonheid
423	praestō -stāre -stitī -stitum	excel, exhibit	Verb: 1st Conjugation	Other Senses	uitblinken; tonen, verschaffen
424	aequor aequoris n.	level surface, sea, plain	Noun: 3rd Declension	Earth and Water	(zee)vlakte, zee
425	misceō miscēre miscuī mixtum	mix	Verb: 2nd Conjugation	Earth and Water	mengen
426	spatium -ī n.	space	Noun: 2nd Declension	Air and Fire	ruimte; tijdspanne
427	tandem	finally	Adverb	Conjunctions/Adverbs	eindelijk, ten slotte
428	īnferus -a -um	low; īnferior: lower; īnfimus or īmus: lowest	Adjective: 1st and 2nd Declension	Geography	lager, onder; inferi: de onderwereld
429	metuō metuere metuī	to fear, to dread	Verb: 3rd Conjugation -ō	Emotions	vrezen
430	temptō -āre	try, test	Verb: 1st Conjugation	Making/Doing	proberen, op de proef stellen
431	trānseō -īre -iī -itum	go across	Verb: Irregular	Travel	oversteken, overgaan
432	ultimus -a -um	farthest, final, last, ultimate	Adjective: 1st and 2nd Declension	Geography	verste, laatste, uiterste
433	addō -dere -didī -ditum	give to	Verb: 3rd Conjugation -ō	Social Life	toevoegen
434	grātus -a -um	pleasant; grateful	Adjective: 1st and 2nd Declension	Personality Traits/Characteristics	aangenaam; dankbaar
435	laudō -āre	praise	Verb: 1st Conjugation	Social Life	prijzen, loven
436	nōndum	not yet	Adverb	Conjunctions/Adverbs	nog niet
437	impōnō -ere -posuī -positum	put in, put on, impose, levy upon	Verb: 3rd Conjugation -ō	Measurement	opleggen, plaatsen op
438	somnus -ī m.	sleep, slumber; (pl.) dreams	Noun: 2nd Declension	Life and Being	slaap
439	aciēs -ēī f.	edge; line of battle	Noun: 5th Declension	War and Peace	scherpe kant; slagorde
440	rūrsus	back, again	Adverb	Place	terug, opnieuw
441	cupiō -ere -īvī -ītum	desire	Verb: 3rd Conjugation -iō	Love	verlangen, begeren
442	exspectō -āre	watch, wait, expect	Verb: 1st Conjugation	Vision	verwachten, wachten op
443	compōnō -pōnere posuī positum	build, construct, arrange	Verb: 3rd Conjugation -ō	Making/Doing	samenstellen, ordenen, bouwen
444	laus laudis f.	praise, glory	Noun: 3rd Declension	Social Life	lof, roem
445	absum abesse āfuī	be away, absent	Verb: Irregular	Travel	afwezig zijn, ver zijn
446	ūsus -ūs m.	use, experience	Noun: 4th Declension	Education/Knowledge	gebruik, ervaring
447	velut	even as, just as	Adverb	Conjunctions/Adverbs	zoals, als het ware
448	comes comitis m./f.	companion, comrade; attendant, follower	Noun: 3rd Declension	Social Life	metgezel, makker, begeleider
449	ob	against, on account of (+acc)	Preposition	Place	wegens, vanwege (+ acc.)
450	studium -ī n.	eagerness, zeal	Noun: 2nd Declension	Emotions	ijver, toewijding, studie
451	facilis -e	easy	Adjective: 3rd Declension	Personality Traits/Characteristics	gemakkelijk
452	nūmen -inis n.	divine will, deity	Noun: 3rd Declension	Religion	goddelijke macht, godheid
453	sapiēns -ntis	wise; (as subst.) wise man, sage, philosopher	Adjective: 3rd Declension	Education/Knowledge	wijs; wijze, filosoof
454	sūmō sūmere sūmpsī sūmptum	take up	Verb: 3rd Conjugation -ō	Motion	nemen, opnemen
455	nōbilis -e	distinguished, noble; (as subst.) a nobleman or woman	Adjective: 3rd Declension	Personality Traits/Characteristics	bekend, adellijk, edel; edelman
456	quīn	(adv.) indeed, in fact; (conjunction) so that ... not (+ subj.)	Adverb	Conjunctions/Adverbs	ja zelfs; zonder dat, of niet (+ conj.)
457	fleō flēre flēvī flētum	weep	Verb: 2nd Conjugation	Emotions	wenen, huilen
458	nōlō nōlle nōluī	be unwilling	Verb: Irregular	Emotions	niet willen
459	plēnus -a -um	full	Adjective: 1st and 2nd Declension	Measurement	vol
460	adversus (-um)	(adv. and prep.) facing, opposite, against, opposed (to)	Adverb	War and Peace	tegenover, tegen (+ acc.); vijandig
461	nemus nemoris n.	grove, forest	Noun: 3rd Declension	Animals/Plants	bos, woud
462	cārus -a -um	dear	Adjective: 1st and 2nd Declension	Personality Traits/Characteristics	dierbaar, lief; duur
463	dēsum -esse -fuī	be lacking	Verb: Irregular	Business/Money	ontbreken
464	lēgātus -ī m.	lieutenant, envoy	Noun: 2nd Declension	War and Peace	gezant; onderbevelhebber
465	discō -ere didicī	learn	Verb: 3rd Conjugation -ō	Education/Knowledge	leren
466	furor -ōris m.	rage, fury	Noun: 3rd Declension	Emotions	woede, razernij
467	amnis -is m.	river, torrent	Noun: 3rd Declension	Earth and Water	rivier, stroom
468	arbor arboris f.	tree	Noun: 3rd Declension	Animals/Plants	boom
469	mox	soon	Adverb	Time	weldra, spoedig
470	eō	(adv.) there, to that place	Adverb	Place	daarheen
471	cīvis -is m./f.	citizen	Noun: 3rd Declension	The City	burger
472	occupō -āre	seize, occupy; anticipate, do a thing first (+ infin.)	Verb: 1st Conjugation	War and Peace	bezetten, innemen; iets eerst doen
473	spectō -āre	look at, consider	Verb: 1st Conjugation	Vision	bekijken, beschouwen
474	tergum -ī n.	back, rear; ā tergō: from the rear	Noun: 2nd Declension	The Body	rug, achterkant; a tergo: van achteren
475	crīmen -inis n.	verdict, accusation	Noun: 3rd Declension	Justice	beschuldiging, misdaad
476	dōnum -ī n.	gift, present	Noun: 2nd Declension	Social Life	geschenk
477	nōtus -a -um	well-known	Adjective: 1st and 2nd Declension	Personality Traits/Characteristics	bekend
478	sinus -ūs m.	fold of a garment; lap, bay, gulf	Noun: 4th Declension	Earth and Water	plooi, boezem, schoot; golf, baai
479	faciēs -ēī f.	form, appearance	Noun: 5th Declension	Vision	uiterlijk, gedaante, gezicht
480	rumpō rumpere rūpī ruptum	break, rupture	Verb: 3rd Conjugation -ō	Violence	breken, verscheuren
481	membrum -ī n.	limb, member of the body	Noun: 2nd Declension	The Body	lid, lichaamsdeel
482	umquam	ever	Adverb	Time	ooit
483	aspiciō -ere -spēxī -spectum	look to or at, behold	Verb: 3rd Conjugation -iō	Vision	aankijken, aanschouwen
484	prius or priusquam	before	Adverb	Time	vroeger; priusquam: voordat
485	templum -ī n.	consecrated ground; temple	Noun: 2nd Declension	Religion	tempel
486	āmittō -mittere -mīsī -missum	let go, send away	Verb: 3rd Conjugation -ō	Verbs of Compelling/Directing	verliezen, laten gaan
487	pōscō pōscere popōscī	demand, claim; inquire into	Verb: 3rd Conjugation -ō	Speech/Oratory	eisen, vragen
488	perdō -dere -didī -ditum	destroy	Verb: 3rd Conjugation -ō	Violence	verliezen, te gronde richten
489	quamvīs	however you like; although	Adverb	Conjunctions/Adverbs	hoezeer ook, hoewel
490	tener -era -erum	tender	Adjective: 1st and 2nd Declension	Other Senses	teer, zacht, jong
491	currus -ūs m.	chariot	Noun: 4th Declension	Athletics	wagen, strijdwagen
492	precor -ārī	pray, invoke	Verb: Deponent	Religion	bidden, smeken
493	anima -ae f.	breath, spirit	Noun: 1st Declension	Life and Being	adem, ziel, leven
494	contingō -tingere -tigī -tactum	touch, be contiguous to	Verb: 3rd Conjugation -ō	Place	aanraken; te beurt vallen
495	lībertās -ātis f.	freedom	Noun: 3rd Declension	The City	vrijheid
496	servus -ī m.	slave	Noun: 2nd Declension	The Household	slaaf
497	soror -ōris f.	sister	Noun: 3rd Declension	The Household	zus, zuster
498	fluctus -ūs m	flood, billow, surf	Noun: 4th Declension	Earth and Water	golf, stroom
499	quīppe	(adv.) indeed, surely	Adverb	Conjunctions/Adverbs	immers, natuurlijk
500	exigō -igere -ēgī -āctum	drive out; collect	Verb: 3rd Conjugation -ō	Verbs of Compelling/Directing	verdrijven; innen, eisen; volbrengen
501	fēmina -ae f.	woman	Noun: 1st Declension	People	vrouw
502	nimius -a -um	too much, excessive	Adjective: 1st and 2nd Declension	Personality Traits/Characteristics	te groot, overdreven
503	fallō fallere fefellī falsum	deceive	Verb: 3rd Conjugation -ō	Deception	bedriegen, misleiden
504	mīror mīrārī mīrātus sum	wonder at, marvel at (+ acc.)	Verb: Deponent	Emotions	zich verwonderen over, bewonderen
505	classis -is f.	class, division, fleet	Noun: 3rd Declension	War and Peace	vloot; klasse, afdeling
506	sedeō sedēre sēdī sessum	sit	Verb: 2nd Conjugation	The House	zitten
507	singulī -ae -a	one each	Adjective: 1st and 2nd Declension	Measurement	telkens één, elk afzonderlijk
508	mūrus -ī m.	wall	Noun: 2nd Declension	The House	muur
509	noceō nocēre nocuī	harm	Verb: 2nd Conjugation	Violence	schaden (+ dat.)
510	quoniam	since, seeing that	Conjunction	Conjunctions/Adverbs	omdat, aangezien
511	fax facis f.	torch	Noun: 3rd Declension	Air and Fire	fakkel
512	intellegō -legere -lēxī -lēctum:	understand	Verb: 3rd Conjugation -ō	Education/Knowledge	begrijpen, inzien
513	iungō iungere iūnxī iūnctum	join	Verb: 3rd Conjugation -ō	Making/Doing	verbinden, verenigen
514	afferō afferre attulī allātum	bring to	Verb: Irregular	Verbs of Transport	aanbrengen, brengen
515	cōgitō -āre	think, reflect	Verb: 1st Conjugation	Education/Knowledge	denken, overwegen
516	līmen līminis n.	threshold	Noun: 3rd Declension	The House	drempel
517	pūblicus -a -um	public, belonging to the state	Adjective: 1st and 2nd Declension	The City	openbaar, van de staat
518	queror querī questus sum	complain of, lament	Verb: Deponent	Emotions	klagen (over), jammeren
519	exemplum -ī n.	example, sample, copy	Noun: 2nd Declension	Speech/Oratory	voorbeeld
520	prex precis f.	prayers, entreaties	Noun: 3rd Declension	Religion	gebed, smeekbede
521	dubitō -āre	hesitate, doubt	Verb: 1st Conjugation	Education/Knowledge	twijfelen, aarzelen
522	odium -ī n.	hatred	Noun: 2nd Declension	Emotions	haat
523	fundō fundere fūdī fūsum	pour, scatter	Verb: 3rd Conjugation -ō	Earth and Water	gieten, uitstorten; verstrooien
524	fūnus fūneris n.	funeral; death; dead body	Noun: 3rd Declension	Religion	begrafenis; dood; lijk
525	nesciō -scīre	not know, be ignorant	Verb: 4th Conjugation	Education/Knowledge	niet weten
526	prior prius	earlier, preceding	Adjective: 3rd Declension	Time	vroeger, eerste (van twee)
527	ūsque	up to; continuously	Adverb	Time	tot, helemaal; voortdurend
528	dubius -a -um	doubtful; (as subst.) a doubt; sine dubiō, without a doubt, certainly	Adjective: 1st and 2nd Declension	Deception	twijfelachtig; sine dubio: zonder twijfel
529	tendō tendere tetendī tentum	stretch, extend, direct (one’s steps or course)	Verb: 3rd Conjugation -ō	Travel	spannen, uitstrekken; zich richten
530	pecūnia -ae f.	money	Noun: 1st Declension	Business/Money	geld
531	quemadmodum	in what manner, how	Adverb	Pronouns/Interrogatives	hoe, zoals
532	spargō spargere sparsī sparsum	scatter	Verb: 3rd Conjugation -ō	Earth and Water	strooien, verspreiden
533	trēs tria	three	Adjective: Numeral	Measurement	drie
534	tangō tangere tetigī tāctum	touch	Verb: 3rd Conjugation -ō	Other Senses	aanraken
535	respondeō -spondēre -spondī -spōnsum	answer	Verb: 2nd Conjugation	Speech/Oratory	antwoorden
536	timor -ōris m.	fear	Noun: 3rd Declension	Emotions	vrees, angst
537	properō -āre	hasten, speed	Verb: 1st Conjugation	Motion	zich haasten
538	subeō -īre -iī -itum	go under; endure	Verb: Irregular	Motion	ondergaan, gaan onder; doorstaan
539	valeō valēre valuī	be strong, excel, be valid, prevail; valē: farewell!	Verb: 2nd Conjugation	Social Life	sterk zijn, gezond zijn, gelden; vale: vaarwel
540	condō -dere -didī -ditum	build, found; store up; hide, conceal	Verb: 3rd Conjugation -ō	The City	stichten; opbergen; verbergen
541	nefās n. indecl.	impiety, wickedness	Noun: Indeclinable	Justice	goddeloosheid, misdaad
542	quondam	formerly, once	Adverb	Time	eens, vroeger
543	auxilium -ī n.	support, assistance; (pl.) auxiliary forces	Noun: 2nd Declension	War and Peace	hulp; auxilia: hulptroepen
544	dēserō -ere dēseruī dēsertum	leave, desert, abandon	Verb: 3rd Conjugation -ō	Motion	verlaten, in de steek laten
545	nūdus -a -um	naked, bare	Adjective: 1st and 2nd Declension	The Body	naakt, bloot
546	auctor -ōris m.	originator, founder	Noun: 3rd Declension	Writing/Poetry	stichter, bewerker; auteur
547	animal -ālis n.	a living being, an animal	Noun: 3rd Declension	Animals/Plants	levend wezen, dier
548	decus decoris n.	beauty, grace; ornament, glory, honor	Noun: 3rd Declension	Personality Traits/Characteristics	sieraad, schoonheid, eer
549	salūs -ūtis f.	health, safety	Noun: 3rd Declension	Life and Being	gezondheid, redding, heil
550	pateō patēre patuī	lie open, extend; be evident or obvious	Verb: 2nd Conjugation	Geography	openstaan, zich uitstrekken; duidelijk zijn
551	rogō -āre	ask	Verb: 1st Conjugation	Speech/Oratory	vragen
552	uxor uxōris f.	wife	Noun: 3rd Declension	The Household	echtgenote, vrouw
553	abeō -īre -iī -itum	go away	Verb: Irregular	Motion	weggaan
554	regō regere rēxī rēctum	guide, rule	Verb: 3rd Conjugation -ō	The City	leiden, besturen, regeren
555	adeō	(adv.) to such a degree, so	Adverb	Conjunctions/Adverbs	zozeer, zo
556	auferō auferre abstulī ablātum	take away	Verb: Irregular	Verbs of Transport	wegnemen, wegdragen
557	quantum	(adv.) how much? how greatly? how much! how greatly! as much as	Adverb	Pronouns/Interrogatives	hoeveel, hoezeer; zoveel als
558	senex -is m.	old man, elder; senior, older	Noun: 3rd Declension	People	oude man, grijsaard
559	frōns frontis f.	forehead, brow; front	Noun: 3rd Declension	The Body	voorhoofd; voorkant
560	propter	because of (+ acc.)	Preposition	Non-Directional Prepositions	wegens, vanwege (+ acc.)
561	rēgius -a -um	kingly, royal	Adjective: 1st and 2nd Declension	Personality Traits/Characteristics	koninklijk
562	currō currere cucurrī cursum	run	Verb: 3rd Conjugation -ō	Athletics	lopen, snellen
563	pellō pellere pepulī pulsum	strike, beat, push, drive	Verb: 3rd Conjugation -ō	Violence	slaan, stoten, verdrijven
564	dīves dīvitis	rich (poet. dīs, dītis)	Adjective: 3rd Declension	Business/Money	rijk
565	iūdicō -āre	judge, decide	Verb: 1st Conjugation	Justice	oordelen, beslissen
566	pecus -oris n.	cattle, sheep	Noun: 3rd Declension	Animals/Plants	vee
567	potēns potentis	able, powerful	Adjective: 3rd Declension	Personality Traits/Characteristics	machtig, krachtig
568	scrībō scrībere scrīpsī scrīptum	write	Verb: 3rd Conjugation -ō	Writing/Poetry	schrijven
569	pulcher -chra -chrum	beautiful	Adjective: 1st and 2nd Declension	Vision	mooi
570	surgō surgere surrēxī surrēctum	rise	Verb: 3rd Conjugation -ō	Earth and Water	opstaan, rijzen
571	cēterum	for the rest, in addition, however that may be	Adverb	Pronouns/Interrogatives	overigens, trouwens, maar
572	careō -ēre -uī	lack (+ abl.)	Verb: 2nd Conjugation	Business/Money	missen, niet hebben (+ abl.)
573	efficiō -ficere -fēcī -fectum	bring about, complete; render (+ ut + subj.)	Verb: 3rd Conjugation -iō	Making/Doing	bewerken, tot stand brengen; maken dat (+ ut)
574	ōlim	formerly, at that time	Adverb	Time	eens, vroeger; ooit
575	sermō -ōnis m.	conversation, discourse	Noun: 3rd Declension	Speech/Oratory	gesprek, taal
576	exerceō -ercēre -ercuī -ercitum	train, exercise, carry on	Verb: 2nd Conjugation	Athletics	oefenen, uitoefenen
577	gradus -ūs m.	step, pace; grade, rank	Noun: 4th Declension	War and Peace	stap, trede; rang
578	agitō -āre	drive	Verb: 1st Conjugation	Verbs of Compelling/Directing	drijven, voortjagen; overwegen
579	forte	by chance	Adverb	Religion	toevallig
580	honestus -a -um	honorable	Adjective: 1st and 2nd Declension	Personality Traits/Characteristics	eervol, eerbaar
581	moror morārī morātus sum	delay	Verb: Deponent	Time	dralen, talmen; ophouden
582	praesidium -ī n.	garrison, protection	Noun: 2nd Declension	War and Peace	bescherming, bezetting, garnizoen
583	sonō sonāre sonuī sonitum	sound, resound	Verb: 1st Conjugation	Other Senses	klinken, weerklinken
584	praebeō -ēre -uī -itum	furnish, supply, render	Verb: 2nd Conjugation	Verbs of Transport	verschaffen, aanbieden
585	regiō -ōnis f.	boundary, region	Noun: 3rd Declension	Geography	streek, gebied
586	sententia -ae f.	opinion, judgment	Noun: 1st Declension	Education/Knowledge	mening, gedachte, oordeel
587	ācer ācris ācre	sharp, piercing	Adjective: 3rd Declension	Other Senses	scherp, fel, hevig
588	suprā	above, beyond (adv. and prep. +acc.)	Preposition	Place	boven (+ acc.); bovenaan, hierboven
589	brevis -e	short, shallow, brief	Adjective: 3rd Declension	Measurement	kort
590	citus -a -um	swift; citō swiftly	Adjective: 1st and 2nd Declension	Time	snel; cito: snel
